SKU,ds,P10,P30,P50,P70,P90
ACC_CABLE_036,2026-09-06,170,264,328,392,486
ACC_CABLE_036,2026-09-07,86,185,252,320,419
ACC_CABLE_036,2026-09-08,78,181,252,323,427
ACC_CABLE_036,2026-09-09,70,178,252,326,435
ACC_CABLE_036,2026-09-10,63,175,252,329,442
ACC_CABLE_036,2026-09-11,56,172,252,332,449
ACC_CABLE_037,2026-08-29,549,612,655,698,762
ACC_CABLE_037,2026-08-30,506,595,656,718,807
ACC_CABLE_037,2026-08-31,322,431,506,581,690
ACC_CABLE_037,2026-09-01,294,421,507,593,720
ACC_CABLE_037,2026-09-02,270,411,508,605,746
ACC_CABLE_037,2026-09-03,248,403,509,615,770
ACC_CABLE_037,2026-09-04,229,396,510,624,791
ACC_CABLE_037,2026-09-05,363,542,664,787,965
ACC_CABLE_037,2026-09-06,346,536,666,795,985
ACC_CABLE_037,2026-09-07,177,376,513,650,849
ACC_CABLE_037,2026-09-08,161,371,514,657,867
ACC_CABLE_037,2026-09-09,147,365,515,665,883
ACC_CABLE_037,2026-09-10,132,360,516,672,900
ACC_CABLE_037,2026-09-11,119,355,517,679,915
ACC_CABLE_038,2026-08-29,507,564,604,643,701
ACC_CABLE_038,2026-08-30,467,548,604,659,741
ACC_CABLE_038,2026-08-31,297,396,464,533,632
ACC_CABLE_038,2026-09-01,271,386,464,543,658
ACC_CABLE_038,2026-09-02,248,377,464,552,681
ACC_CABLE_038,2026-09-03,227,368,464,561,702
ACC_CABLE_038,2026-09-04,208,360,464,569,721
ACC_CABLE_038,2026-09-05,330,493,604,715,878
ACC_CABLE_038,2026-09-06,313,486,604,722,894
ACC_CABLE_038,2026-09-07,158,340,464,589,771
ACC_CABLE_038,2026-09-08,143,334,464,595,786
ACC_CABLE_038,2026-09-09,129,328,464,601,800
ACC_CABLE_038,2026-09-10,115,323,464,606,814
ACC_CABLE_038,2026-09-11,102,317,464,612,827
ACC_CABLE_039,2026-08-29,579,646,692,737,804
ACC_CABLE_039,2026-08-30,534,628,693,757,852
ACC_CABLE_039,2026-08-31,340,455,534,613,728
ACC_CABLE_039,2026-09-01,311,444,535,626,759
ACC_CABLE_039,2026-09-02,285,434,536,638,787
ACC_CABLE_039,2026-09-03,262,425,537,649,812
ACC_CABLE_039,2026-09-04,241,417,538,659,835
ACC_CABLE_039,2026-09-05,383,572,701,830,1018
ACC_CABLE_039,2026-09-06,365,565,702,839,1039
ACC_CABLE_039,2026-09-07,186,397,541,685,896
ACC_CABLE_039,2026-09-08,170,391,542,693,914
ACC_CABLE_039,2026-09-09,154,385,543,701,932
ACC_CABLE_039,2026-09-10,139,380,544,708,949
ACC_CABLE_039,2026-09-11,125,374,545,716,965
ACC_CABLE_040,2026-08-29,308,343,367,391,426
ACC_CABLE_040,2026-08-30,284,333,367,401,450
ACC_CABLE_040,2026-08-31,180,241,282,324,384
ACC_CABLE_040,2026-09-01,165,235,282,330,400
ACC_CABLE_040,2026-09-02,151,229,282,336,414
ACC_CABLE_040,2026-09-03,138,224,282,341,427
ACC_CABLE_040,2026-09-04,127,219,282,346,438
ACC_CABLE_040,2026-09-05,201,300,367,435,534
ACC_CABLE_040,2026-09-06,191,295,367,439,544
ACC_CABLE_040,2026-09-07,96,207,282,358,469
ACC_CABLE_040,2026-09-08,87,203,282,362,478
ACC_CABLE_040,2026-09-09,78,200,282,365,486
ACC_CABLE_040,2026-09-10,70,196,282,369,495
ACC_CABLE_040,2026-09-11,62,193,282,372,503
FMCG_FOOD_001,2026-08-29,107,120,128,136,148
FMCG_FOOD_001,2026-08-30,99,116,128,140,157
FMCG_FOOD_001,2026-08-31,63,84,98,113,134
FMCG_FOOD_001,2026-09-01,57,82,98,115,139
FMCG_FOOD_001,2026-09-02,52,80,98,117,144
FMCG_FOOD_001,2026-09-03,48,78,98,119,149
FMCG_FOOD_001,2026-09-04,44,76,98,120,153
FMCG_FOOD_001,2026-09-05,70,104,128,151,186
FMCG_FOOD_001,2026-09-06,66,103,128,153,189
FMCG_FOOD_001,2026-09-07,34,72,98,125,163
FMCG_FOOD_001,2026-09-08,30,71,98,126,166
FMCG_FOOD_001,2026-09-09,27,69,98,127,169
FMCG_FOOD_001,2026-09-10,24,68,98,128,172
FMCG_FOOD_001,2026-09-11,22,67,98,129,175
FMCG_FOOD_002,2026-08-29,213,237,254,270,295
FMCG_FOOD_002,2026-08-30,196,230,254,277,311
FMCG_FOOD_002,2026-08-31,125,167,195,224,266
FMCG_FOOD_002,2026-09-01,114,162,195,228,277
FMCG_FOOD_002,2026-09-02,104,158,195,232,286
FMCG_FOOD_002,2026-09-03,96,155,195,236,295
FMCG_FOOD_002,2026-09-04,88,152,195,239,303
FMCG_FOOD_002,2026-09-05,139,207,254,301,369
FMCG_FOOD_002,2026-09-06,132,204,254,303,376
FMCG_FOOD_002,2026-09-07,67,143,195,248,324
FMCG_FOOD_002,2026-09-08,60,140,195,250,330
FMCG_FOOD_002,2026-09-09,54,138,195,253,336
FMCG_FOOD_002,2026-09-10,49,136,195,255,342
FMCG_FOOD_002,2026-09-11,43,133,195,257,348
FMCG_FOOD_003,2026-08-29,155,172,184,196,214
FMCG_FOOD_003,2026-08-30,142,167,184,201,226
FMCG_FOOD_003,2026-08-31,91,121,142,162,193
FMCG_FOOD_003,2026-09-01,83,118,142,166,201
FMCG_FOOD_003,2026-09-02,76,115,142,169,208
FMCG_FOOD_003,2026-09-03,69,112,142,171,214
FMCG_FOOD_003,2026-09-04,64,110,142,173,220
FMCG_FOOD_003,2026-09-05,101,150,184,218,268
FMCG_FOOD_003,2026-09-06,96,148,184,220,273
FMCG_FOOD_003,2026-09-07,48,104,142,180,235
FMCG_FOOD_003,2026-09-08,44,102,142,181,240
FMCG_FOOD_003,2026-09-09,39,100,142,183,244
FMCG_FOOD_003,2026-09-10,35,98,142,185,248
FMCG_FOOD_003,2026-09-11,31,97,142,187,252
FMCG_FOOD_004,2026-08-29,200,223,238,254,276
FMCG_FOOD_004,2026-08-30,184,216,238,260,292
FMCG_FOOD_004,2026-08-31,117,156,183,210,249
FMCG_FOOD_004,2026-09-01,107,152,183,214,259
FMCG_FOOD_004,2026-09-02,98,148,183,218,268
FMCG_FOOD_004,2026-09-03,90,145,183,221,277
FMCG_FOOD_004,2026-09-04,82,142,183,224,284
FMCG_FOOD_004,2026-09-05,130,194,238,282,346
FMCG_FOOD_004,2026-09-06,124,192,238,285,353
FMCG_FOOD_004,2026-09-07,62,134,183,232,304
FMCG_FOOD_004,2026-09-08,57,132,183,235,310
FMCG_FOOD_004,2026-09-09,51,129,183,237,315
FMCG_FOOD_004,2026-09-10,45,127,183,239,321
FMCG_FOOD_004,2026-09-11,40,125,183,241,326
FMCG_FOOD_005,2026-08-29,180,200,214,228,248
FMCG_FOOD_005,2026-08-30,166,194,214,234,263
FMCG_FOOD_005,2026-08-31,105,141,165,189,224
FMCG_FOOD_005,2026-09-01,96,137,165,193,233
FMCG_FOOD_005,2026-09-02,88,134,165,196,241
FMCG_FOOD_005,2026-09-03,81,131,165,199,249
FMCG_FOOD_005,2026-09-04,74,128,165,202,256
FMCG_FOOD_005,2026-09-05,117,175,214,254,311
FMCG_FOOD_005,2026-09-06,111,172,214,256,317
FMCG_FOOD_005,2026-09-07,56,121,165,209,273
FMCG_FOOD_005,2026-09-08,51,118,165,211,279
FMCG_FOOD_005,2026-09-09,46,116,165,213,284
FMCG_FOOD_005,2026-09-10,41,114,165,215,289
FMCG_FOOD_005,2026-09-11,36,113,165,217,293
FMCG_FOOD_006,2026-08-29,148,165,176,188,204
FMCG_FOOD_006,2026-08-30,136,160,176,192,216
FMCG_FOOD_006,2026-08-31,87,116,135,155,184
FMCG_FOOD_006,2026-09-01,79,113,135,158,192
FMCG_FOOD_006,2026-09-02,72,110,135,161,199
FMCG_FOOD_006,2026-09-03,66,107,135,164,205
FMCG_FOOD_006,2026-09-04,61,105,135,166,210
FMCG_FOOD_006,2026-09-05,96,144,176,209,256
FMCG_FOOD_006,2026-09-06,91,142,176,211,261
FMCG_FOOD_006,2026-09-07,46,99,135,172,225
FMCG_FOOD_006,2026-09-08,42,97,135,173,229
FMCG_FOOD_006,2026-09-09,38,96,135,175,233
FMCG_FOOD_006,2026-09-10,34,94,135,177,237
FMCG_FOOD_006,2026-09-11,30,93,135,178,241
FMCG_FOOD_007,2026-08-29,179,199,213,227,247
FMCG_FOOD_007,2026-08-30,164,193,213,232,261
FMCG_FOOD_007,2026-08-31,105,140,164,188,223
FMCG_FOOD_007,2026-09-01,95,136,164,191,232
FMCG_FOOD_007,2026-09-02,87,133,164,195,240
FMCG_FOOD_007,2026-09-03,80,130,164,198,247
FMCG_FOOD_007,2026-09-04,73,127,164,200,254
FMCG_FOOD_007,2026-09-05,116,173,213,252,309
FMCG_FOOD_007,2026-09-06,110,171,213,254,315
FMCG_FOOD_007,2026-09-07,56,120,164,207,271
FMCG_FOOD_007,2026-09-08,50,118,164,210,277
FMCG_FOOD_007,2026-09-09,45,116,164,212,282
FMCG_FOOD_007,2026-09-10,41,114,164,214,287
FMCG_FOOD_007,2026-09-11,36,112,164,215,291
FMCG_FOOD_008,2026-08-29,117,130,139,148,161
FMCG_FOOD_008,2026-08-30,108,126,139,152,171
FMCG_FOOD_008,2026-08-31,68,91,107,123,146
FMCG_FOOD_008,2026-09-01,62,89,107,125,152
FMCG_FOOD_008,2026-09-02,57,87,107,127,157
FMCG_FOOD_008,2026-09-03,52,85,107,129,162
FMCG_FOOD_008,2026-09-04,48,83,107,131,166
FMCG_FOOD_008,2026-09-05,76,113,139,165,202
FMCG_FOOD_008,2026-09-06,72,112,139,166,206
FMCG_FOOD_008,2026-09-07,36,78,107,136,178
FMCG_FOOD_008,2026-09-08,33,77,107,137,181
FMCG_FOOD_008,2026-09-09,30,76,107,138,184
FMCG_FOOD_008,2026-09-10,27,74,107,140,187
FMCG_FOOD_008,2026-09-11,24,73,107,141,190
FMCG_FOOD_009,2026-08-29,239,267,285,304,331
FMCG_FOOD_009,2026-08-30,221,259,285,311,350
FMCG_FOOD_009,2026-08-31,140,187,219,252,299
FMCG_FOOD_009,2026-09-01,128,182,219,257,311
FMCG_FOOD_009,2026-09-02,117,178,219,261,322
FMCG_FOOD_009,2026-09-03,107,174,219,265,331
FMCG_FOOD_009,2026-09-04,98,170,219,269,340
FMCG_FOOD_009,2026-09-05,156,233,285,338,415
FMCG_FOOD_009,2026-09-06,148,229,285,341,422
FMCG_FOOD_009,2026-09-07,75,161,219,278,364
FMCG_FOOD_009,2026-09-08,68,158,219,281,371
FMCG_FOOD_009,2026-09-09,61,155,219,284,378
FMCG_FOOD_009,2026-09-10,54,152,219,286,384
FMCG_FOOD_009,2026-09-11,48,150,219,289,390
FMCG_FOOD_010,2026-08-29,127,142,151,161,176
FMCG_FOOD_010,2026-08-30,117,137,151,165,186
FMCG_FOOD_010,2026-08-31,74,99,116,134,159
FMCG_FOOD_010,2026-09-01,68,97,116,136,165
FMCG_FOOD_010,2026-09-02,62,94,116,139,171
FMCG_FOOD_010,2026-09-03,57,92,116,141,176
FMCG_FOOD_010,2026-09-04,52,90,116,143,181
FMCG_FOOD_010,2026-09-05,83,124,151,179,220
FMCG_FOOD_010,2026-09-06,79,122,151,181,224
FMCG_FOOD_010,2026-09-07,40,85,116,148,193
FMCG_FOOD_010,2026-09-08,36,84,116,149,197
FMCG_FOOD_010,2026-09-09,32,82,116,151,201
FMCG_FOOD_010,2026-09-10,29,81,116,152,204
FMCG_FOOD_010,2026-09-11,26,80,116,153,207
FMCG_FOOD_011,2026-08-29,169,188,201,214,233
FMCG_FOOD_011,2026-08-30,155,182,201,219,246
FMCG_FOOD_011,2026-08-31,99,132,154,177,210
FMCG_FOOD_011,2026-09-01,90,128,154,181,219
FMCG_FOOD_011,2026-09-02,82,125,154,184,226
FMCG_FOOD_011,2026-09-03,76,122,154,187,233
FMCG_FOOD_011,2026-09-04,69,120,154,189,240
FMCG_FOOD_011,2026-09-05,110,164,201,238,292
FMCG_FOOD_011,2026-09-06,104,162,201,240,297
FMCG_FOOD_011,2026-09-07,53,113,154,196,256
FMCG_FOOD_011,2026-09-08,48,111,154,198,261
FMCG_FOOD_011,2026-09-09,43,109,154,200,266
FMCG_FOOD_011,2026-09-10,38,107,154,202,271
FMCG_FOOD_011,2026-09-11,34,106,154,203,275
FMCG_FOOD_012,2026-08-29,191,213,228,242,264
FMCG_FOOD_012,2026-08-30,176,207,228,248,279
FMCG_FOOD_012,2026-08-31,112,149,175,201,238
FMCG_FOOD_012,2026-09-01,102,145,175,205,248
FMCG_FOOD_012,2026-09-02,93,142,175,208,257
FMCG_FOOD_012,2026-09-03,86,139,175,211,264
FMCG_FOOD_012,2026-09-04,78,136,175,214,272
FMCG_FOOD_012,2026-09-05,124,186,228,269,331
FMCG_FOOD_012,2026-09-06,118,183,228,272,337
FMCG_FOOD_012,2026-09-07,60,128,175,222,290
FMCG_FOOD_012,2026-09-08,54,126,175,224,296
FMCG_FOOD_012,2026-09-09,49,124,175,226,301
FMCG_FOOD_012,2026-09-10,43,122,175,228,307
FMCG_FOOD_012,2026-09-11,39,120,175,230,312
FMCG_FOOD_013,2026-08-29,115,128,137,146,159
FMCG_FOOD_013,2026-08-30,106,124,137,149,168
FMCG_FOOD_013,2026-08-31,67,90,105,121,143
FMCG_FOOD_013,2026-09-01,61,87,105,123,149
FMCG_FOOD_013,2026-09-02,56,85,105,125,154
FMCG_FOOD_013,2026-09-03,51,83,105,127,159
FMCG_FOOD_013,2026-09-04,47,82,105,129,163
FMCG_FOOD_013,2026-09-05,75,112,137,162,199
FMCG_FOOD_013,2026-09-06,71,110,137,163,202
FMCG_FOOD_013,2026-09-07,36,77,105,133,174
FMCG_FOOD_013,2026-09-08,32,76,105,135,178
FMCG_FOOD_013,2026-09-09,29,74,105,136,181
FMCG_FOOD_013,2026-09-10,26,73,105,137,184
FMCG_FOOD_013,2026-09-11,23,72,105,138,187
FMCG_FOOD_014,2026-08-29,242,269,288,307,334
FMCG_FOOD_014,2026-08-30,223,261,288,314,353
FMCG_FOOD_014,2026-08-31,142,189,222,254,301
FMCG_FOOD_014,2026-09-01,129,184,222,259,314
FMCG_FOOD_014,2026-09-02,118,180,222,263,325
FMCG_FOOD_014,2026-09-03,108,176,222,267,335
FMCG_FOOD_014,2026-09-04,99,172,222,271,344
FMCG_FOOD_014,2026-09-05,157,235,288,341,419
FMCG_FOOD_014,2026-09-06,149,232,288,344,426
FMCG_FOOD_014,2026-09-07,75,162,222,281,368
FMCG_FOOD_014,2026-09-08,68,159,222,284,375
FMCG_FOOD_014,2026-09-09,62,157,222,286,381
FMCG_FOOD_014,2026-09-10,55,154,222,289,388
FMCG_FOOD_014,2026-09-11,49,151,222,292,394
FMCG_FOOD_015,2026-08-29,227,253,271,288,314
FMCG_FOOD_015,2026-08-30,209,246,271,296,332
FMCG_FOOD_015,2026-08-31,133,178,208,239,283
FMCG_FOOD_015,2026-09-01,121,173,208,243,295
FMCG_FOOD_015,2026-09-02,111,169,208,248,305
FMCG_FOOD_015,2026-09-03,102,165,208,251,315
FMCG_FOOD_015,2026-09-04,93,162,208,255,323
FMCG_FOOD_015,2026-09-05,148,221,271,321,393
FMCG_FOOD_015,2026-09-06,140,218,271,324,401
FMCG_FOOD_015,2026-09-07,71,152,208,264,345
FMCG_FOOD_015,2026-09-08,64,150,208,267,352
FMCG_FOOD_015,2026-09-09,58,147,208,269,359
FMCG_FOOD_015,2026-09-10,52,145,208,272,365
FMCG_FOOD_015,2026-09-11,46,142,208,274,371
FMCG_FOOD_016,2026-08-29,188,209,224,239,260
FMCG_FOOD_016,2026-08-30,173,203,224,245,275
FMCG_FOOD_016,2026-08-31,110,147,172,198,234
FMCG_FOOD_016,2026-09-01,100,143,172,201,244
FMCG_FOOD_016,2026-09-02,92,140,172,205,253
FMCG_FOOD_016,2026-09-03,84,137,172,208,260
FMCG_FOOD_016,2026-09-04,77,134,172,211,267
FMCG_FOOD_016,2026-09-05,122,183,224,265,326
FMCG_FOOD_016,2026-09-06,116,180,224,268,332
FMCG_FOOD_016,2026-09-07,59,126,172,218,286
FMCG_FOOD_016,2026-09-08,53,124,172,221,291
FMCG_FOOD_016,2026-09-09,48,122,172,223,297
FMCG_FOOD_016,2026-09-10,43,120,172,225,302
FMCG_FOOD_016,2026-09-11,38,118,172,227,307
FMCG_FOOD_017,2026-08-29,156,173,185,198,215
FMCG_FOOD_017,2026-08-30,143,168,185,203,227
FMCG_FOOD_017,2026-08-31,91,122,143,164,194
FMCG_FOOD_017,2026-09-01,83,118,143,167,202
FMCG_FOOD_017,2026-09-02,76,116,143,170,209
FMCG_FOOD_017,2026-09-03,70,113,143,172,215
FMCG_FOOD_017,2026-09-04,64,111,143,175,221
FMCG_FOOD_017,2026-09-05,101,151,185,220,270
FMCG_FOOD_017,2026-09-06,96,149,185,222,275
FMCG_FOOD_017,2026-09-07,49,104,143,181,237
FMCG_FOOD_017,2026-09-08,44,103,143,183,241
FMCG_FOOD_017,2026-09-09,40,101,143,184,246
FMCG_FOOD_017,2026-09-10,35,99,143,186,250
FMCG_FOOD_017,2026-09-11,31,97,143,188,254
FMCG_FOOD_018,2026-08-29,137,152,163,173,189
FMCG_FOOD_018,2026-08-30,126,148,163,178,200
FMCG_FOOD_018,2026-08-31,80,107,125,144,170
FMCG_FOOD_018,2026-09-01,73,104,125,146,177
FMCG_FOOD_018,2026-09-02,67,102,125,149,184
FMCG_FOOD_018,2026-09-03,61,99,125,151,189
FMCG_FOOD_018,2026-09-04,56,97,125,153,194
FMCG_FOOD_018,2026-09-05,89,133,163,193,237
FMCG_FOOD_018,2026-09-06,85,131,163,195,241
FMCG_FOOD_018,2026-09-07,43,92,125,159,208
FMCG_FOOD_018,2026-09-08,39,90,125,160,212
FMCG_FOOD_018,2026-09-09,35,89,125,162,216
FMCG_FOOD_018,2026-09-10,31,87,125,164,219
FMCG_FOOD_018,2026-09-11,28,86,125,165,223
FMCG_FOOD_019,2026-08-29,203,226,242,258,281
FMCG_FOOD_019,2026-08-30,187,220,242,264,297
FMCG_FOOD_019,2026-08-31,119,159,186,213,253
FMCG_FOOD_019,2026-09-01,109,155,186,218,264
FMCG_FOOD_019,2026-09-02,99,151,186,221,273
FMCG_FOOD_019,2026-09-03,91,148,186,225,281
FMCG_FOOD_019,2026-09-04,83,144,186,228,289
FMCG_FOOD_019,2026-09-05,132,197,242,287,352
FMCG_FOOD_019,2026-09-06,126,195,242,289,358
FMCG_FOOD_019,2026-09-07,63,136,186,236,309
FMCG_FOOD_019,2026-09-08,57,134,186,238,315
FMCG_FOOD_019,2026-09-09,52,132,186,241,321
FMCG_FOOD_019,2026-09-10,46,129,186,243,326
FMCG_FOOD_019,2026-09-11,41,127,186,245,331
FMCG_FOOD_020,2026-08-29,155,173,185,197,215
FMCG_FOOD_020,2026-08-30,143,168,185,202,227
FMCG_FOOD_020,2026-08-31,91,121,142,163,194
FMCG_FOOD_020,2026-09-01,83,118,142,166,202
FMCG_FOOD_020,2026-09-02,76,115,142,169,209
FMCG_FOOD_020,2026-09-03,70,113,142,172,215
FMCG_FOOD_020,2026-09-04,64,110,142,174,221
FMCG_FOOD_020,2026-09-05,101,151,185,219,269
FMCG_FOOD_020,2026-09-06,96,149,185,221,274
FMCG_FOOD_020,2026-09-07,48,104,142,180,236
FMCG_FOOD_020,2026-09-08,44,102,142,182,241
FMCG_FOOD_020,2026-09-09,40,101,142,184,245
FMCG_FOOD_020,2026-09-10,35,99,142,186,249
FMCG_FOOD_020,2026-09-11,31,97,142,187,253
FMCG_FOOD_021,2026-08-29,217,241,258,275,299
FMCG_FOOD_021,2026-08-30,199,234,258,282,317
FMCG_FOOD_021,2026-08-31,127,169,198,228,270
FMCG_FOOD_021,2026-09-01,116,165,198,232,281
FMCG_FOOD_021,2026-09-02,106,161,198,236,291
FMCG_FOOD_021,2026-09-03,97,157,198,240,300
FMCG_FOOD_021,2026-09-04,89,154,198,243,308
FMCG_FOOD_021,2026-09-05,141,210,258,306,375
FMCG_FOOD_021,2026-09-06,134,208,258,308,382
FMCG_FOOD_021,2026-09-07,68,145,198,252,329
FMCG_FOOD_021,2026-09-08,61,143,198,254,336
FMCG_FOOD_021,2026-09-09,55,140,198,257,342
FMCG_FOOD_021,2026-09-10,49,138,198,259,348
FMCG_FOOD_021,2026-09-11,44,136,198,261,353
FMCG_FOOD_022,2026-08-29,132,147,158,168,183
FMCG_FOOD_022,2026-08-30,122,143,158,172,193
FMCG_FOOD_022,2026-08-31,77,103,121,139,165
FMCG_FOOD_022,2026-09-01,71,101,121,142,172
FMCG_FOOD_022,2026-09-02,65,98,121,144,178
FMCG_FOOD_022,2026-09-03,59,96,121,146,183
FMCG_FOOD_022,2026-09-04,54,94,121,148,188
FMCG_FOOD_022,2026-09-05,86,129,158,187,229
FMCG_FOOD_022,2026-09-06,82,127,158,188,233
FMCG_FOOD_022,2026-09-07,41,89,121,154,201
FMCG_FOOD_022,2026-09-08,37,87,121,155,205
FMCG_FOOD_022,2026-09-09,34,86,121,157,209
FMCG_FOOD_022,2026-09-10,30,84,121,158,212
FMCG_FOOD_022,2026-09-11,27,83,121,160,216
FMCG_FOOD_023,2026-08-29,222,247,264,282,307
FMCG_FOOD_023,2026-08-30,205,240,264,289,324
FMCG_FOOD_023,2026-08-31,130,174,203,233,277
FMCG_FOOD_023,2026-09-01,119,169,203,238,288
FMCG_FOOD_023,2026-09-02,109,165,203,242,298
FMCG_FOOD_023,2026-09-03,100,161,203,246,307
FMCG_FOOD_023,2026-09-04,91,158,203,249,316
FMCG_FOOD_023,2026-09-05,145,216,264,313,384
FMCG_FOOD_023,2026-09-06,137,213,264,316,392
FMCG_FOOD_023,2026-09-07,69,149,203,258,338
FMCG_FOOD_023,2026-09-08,63,146,203,261,344
FMCG_FOOD_023,2026-09-09,57,144,203,263,350
FMCG_FOOD_023,2026-09-10,51,141,203,266,356
FMCG_FOOD_023,2026-09-11,45,139,203,268,362
FMCG_FOOD_024,2026-08-29,213,237,253,270,294
FMCG_FOOD_024,2026-08-30,196,230,253,276,310
FMCG_FOOD_024,2026-08-31,124,166,195,223,265
FMCG_FOOD_024,2026-09-01,114,162,195,228,276
FMCG_FOOD_024,2026-09-02,104,158,195,232,285
FMCG_FOOD_024,2026-09-03,95,154,195,235,294
FMCG_FOOD_024,2026-09-04,87,151,195,238,302
FMCG_FOOD_024,2026-09-05,138,206,253,300,368
FMCG_FOOD_024,2026-09-06,131,204,253,303,375
FMCG_FOOD_024,2026-09-07,66,143,195,247,323
FMCG_FOOD_024,2026-09-08,60,140,195,249,329
FMCG_FOOD_024,2026-09-09,54,138,195,252,335
FMCG_FOOD_024,2026-09-10,48,135,195,254,341
FMCG_FOOD_024,2026-09-11,43,133,195,256,347
FMCG_FOOD_025,2026-08-29,111,124,132,141,153
FMCG_FOOD_025,2026-08-30,102,120,132,144,162
FMCG_FOOD_025,2026-08-31,65,87,102,117,138
FMCG_FOOD_025,2026-09-01,59,84,102,119,144
FMCG_FOOD_025,2026-09-02,54,82,102,121,149
FMCG_FOOD_025,2026-09-03,50,81,102,123,154
FMCG_FOOD_025,2026-09-04,46,79,102,125,158
FMCG_FOOD_025,2026-09-05,72,108,132,157,192
FMCG_FOOD_025,2026-09-06,69,106,132,158,196
FMCG_FOOD_025,2026-09-07,35,74,102,129,169
FMCG_FOOD_025,2026-09-08,31,73,102,130,172
FMCG_FOOD_025,2026-09-09,28,72,102,132,175
FMCG_FOOD_025,2026-09-10,25,71,102,133,178
FMCG_FOOD_025,2026-09-11,22,69,102,134,181
FMCG_FOOD_026,2026-08-29,197,219,234,250,272
FMCG_FOOD_026,2026-08-30,181,213,234,256,287
FMCG_FOOD_026,2026-08-31,115,154,180,207,245
FMCG_FOOD_026,2026-09-01,105,150,180,211,255
FMCG_FOOD_026,2026-09-02,96,146,180,214,264
FMCG_FOOD_026,2026-09-03,88,143,180,218,272
FMCG_FOOD_026,2026-09-04,81,140,180,221,280
FMCG_FOOD_026,2026-09-05,128,191,234,278,341
FMCG_FOOD_026,2026-09-06,122,189,234,280,347
FMCG_FOOD_026,2026-09-07,61,132,180,229,299
FMCG_FOOD_026,2026-09-08,56,130,180,231,305
FMCG_FOOD_026,2026-09-09,50,127,180,233,310
FMCG_FOOD_026,2026-09-10,45,125,180,235,316
FMCG_FOOD_026,2026-09-11,40,123,180,237,321
FMCG_FOOD_027,2026-08-29,206,229,245,261,284
FMCG_FOOD_027,2026-08-30,189,222,245,268,301
FMCG_FOOD_027,2026-08-31,120,161,188,216,256
FMCG_FOOD_027,2026-09-01,110,157,188,220,267
FMCG_FOOD_027,2026-09-02,101,153,188,224,276
FMCG_FOOD_027,2026-09-03,92,149,188,228,285
FMCG_FOOD_027,2026-09-04,85,146,188,231,292
FMCG_FOOD_027,2026-09-05,134,200,245,290,356
FMCG_FOOD_027,2026-09-06,127,197,245,293,363
FMCG_FOOD_027,2026-09-07,64,138,188,239,313
FMCG_FOOD_027,2026-09-08,58,136,188,241,319
FMCG_FOOD_027,2026-09-09,52,133,188,244,324
FMCG_FOOD_027,2026-09-10,47,131,188,246,330
FMCG_FOOD_027,2026-09-11,41,129,188,248,335
FMCG_FOOD_028,2026-08-29,216,241,258,274,299
FMCG_FOOD_028,2026-08-30,199,234,258,281,316
FMCG_FOOD_028,2026-08-31,127,169,198,227,270
FMCG_FOOD_028,2026-09-01,116,165,198,232,281
FMCG_FOOD_028,2026-09-02,106,161,198,236,291
FMCG_FOOD_028,2026-09-03,97,157,198,239,299
FMCG_FOOD_028,2026-09-04,89,154,198,243,308
FMCG_FOOD_028,2026-09-05,141,210,258,305,375
FMCG_FOOD_028,2026-09-06,134,207,258,308,382
FMCG_FOOD_028,2026-09-07,68,145,198,251,329
FMCG_FOOD_028,2026-09-08,61,143,198,254,335
FMCG_FOOD_028,2026-09-09,55,140,198,256,341
FMCG_FOOD_028,2026-09-10,49,138,198,259,347
FMCG_FOOD_028,2026-09-11,44,135,198,261,353
FMCG_FOOD_029,2026-08-29,134,149,160,170,186
FMCG_FOOD_029,2026-08-30,124,145,160,175,196
FMCG_FOOD_029,2026-08-31,79,105,123,141,167
FMCG_FOOD_029,2026-09-01,72,102,123,144,174
FMCG_FOOD_029,2026-09-02,66,100,123,146,180
FMCG_FOOD_029,2026-09-03,60,97,123,149,186
FMCG_FOOD_029,2026-09-04,55,95,123,151,191
FMCG_FOOD_029,2026-09-05,87,130,160,189,232
FMCG_FOOD_029,2026-09-06,83,129,160,191,237
FMCG_FOOD_029,2026-09-07,42,90,123,156,204
FMCG_FOOD_029,2026-09-08,38,88,123,158,208
FMCG_FOOD_029,2026-09-09,34,87,123,159,212
FMCG_FOOD_029,2026-09-10,31,85,123,161,215
FMCG_FOOD_029,2026-09-11,27,84,123,162,219
FMCG_FOOD_030,2026-08-29,232,259,277,295,321
FMCG_FOOD_030,2026-08-30,214,251,277,302,340
FMCG_FOOD_030,2026-08-31,136,182,213,244,290
FMCG_FOOD_030,2026-09-01,124,177,213,249,302
FMCG_FOOD_030,2026-09-02,114,173,213,253,312
FMCG_FOOD_030,2026-09-03,104,169,213,257,322
FMCG_FOOD_030,2026-09-04,96,165,213,261,330
FMCG_FOOD_030,2026-09-05,151,226,277,328,402
FMCG_FOOD_030,2026-09-06,144,223,277,331,410
FMCG_FOOD_030,2026-09-07,73,156,213,270,353
FMCG_FOOD_030,2026-09-08,66,153,213,273,360
FMCG_FOOD_030,2026-09-09,59,150,213,275,367
FMCG_FOOD_030,2026-09-10,53,148,213,278,373
FMCG_FOOD_030,2026-09-11,47,145,213,280,379
TECH_PHONE_001,2026-08-29,72,80,86,91,100
TECH_PHONE_001,2026-08-30,66,78,86,94,105
